name1,team1,name2,team2
Adrien Pommellet,AA,Hugo Bazille,AA
Adrien Pommellet,AA,Riadh Robbana,S%C3%89CUSYS
Adrien Pommellet,AA,Thierry Géraud,TIRF
Alexandre Duret-Lutz,AA,Jonathan Fabrizio,TIRF
Amazigh Amrane,AA,Florian Renkin,AA
Amazigh Amrane,AA,Alexandre Duret-Lutz,AA
Daniel Stan,AA,Florian Renkin,AA
Daniel Stan,AA,Amazigh Amrane,AA
Daniel Stan,AA,Alexandre Duret-Lutz,AA
Didier Verna,AA,Gonzalo Romero-Garcia,TIRF
Didier Verna,AA,Gonzalo Romero-García,TIRF
Didier Verna,AA,Florian Renkin,AA
Didier Verna,AA,Adrien Pommellet,AA
Didier Verna,AA,Jonathan Fabrizio,TIRF
Didier Verna,AA,Nicolas Boutry,TIRF
Didier Verna,AA,Élodie Puybareau,TIRF
Didier Verna,AA,Alexandre Duret-Lutz,AA
Didier Verna,AA,Thierry Géraud,TIRF
Hugo Bazille,AA,Florian Renkin,AA
Hugo Bazille,AA,Alexandre Duret-Lutz,AA
Jim E. Newton,AA,Baptiste Esteban,TIRF
Jim E. Newton,AA,Florian Renkin,AA
Jim E. Newton,AA,Daniel Stan,AA
Jim E. Newton,AA,Amazigh Amrane,AA
Jim E. Newton,AA,Guillaume Tochon,TIRF
Jim E. Newton,AA,Edwin Carlinet,TIRF
Jim E. Newton,AA,Alexandre Duret-Lutz,AA
Jim E. Newton,AA,Thierry Géraud,TIRF
Jim Newton,AA,Baptiste Esteban,TIRF
Jim Newton,AA,Florian Renkin,AA
